PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI PKBR;MATERI LAINNYA;JUMLAH PERTEMUAN;JUMLAH REMAJA HADIR DALAM PERTEMUAN;JUMLAH PERTEMUAN MATERI PKBR OLEH PIK REMAJA;BULAN
SULAWESI BARAT;MAMUJU;KALUKKU;2012;KALUKKU BARAT;1;1;100.00;1;0;1;16;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2013;PAMMULUKANG;1;1;100.00;1;0;1;27;1;JANUARI
SULAWESI BARAT;MAMASA;BALLA;2001;BALLA;2;2;100.00;2;0;2;24;2;JANUARI
SULAWESI BARAT;MAMASA;BALLA;2002;BALLA BARAT;1;1;100.00;1;0;1;18;1;JANUARI
SULAWESI BARAT;MAMASA;BALLA;2003;BALLA SATANETEAN;1;1;100.00;1;0;1;21;1;JANUARI
SULAWESI BARAT;MAMASA;BALLA;2004;BALLA TUMUKA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;BALLA;2005;SEPAKUAN;1;1;100.00;1;0;1;12;1;JANUARI
SULAWESI BARAT;MAMASA;BALLA;2006;PIDARA;1;1;100.00;1;0;1;14;1;JANUARI
SULAWESI BARAT;MAMASA;BALLA;2007;BAMBAPUANG;1;1;100.00;1;0;1;14;1;JANUARI
SULAWESI BARAT;MAMASA;BALLA;2008;BALLA TIMUR;1;1;100.00;1;0;1;14;1;JANUARI
SULAWESI BARAT;MAMASA;BAMBANG;2001;MOKALLANG;1;1;100.00;1;0;1;15;1;JANUARI
SULAWESI BARAT;MAMASA;BAMBANG;2002;MASOSO;1;1;100.00;1;0;1;12;1;JANUARI
SULAWESI BARAT;MAMASA;BAMBANG;2003;SALUASSING;1;1;100.00;1;0;1;30;1;JANUARI
SULAWESI BARAT;MAMASA;BAMBANG;2004;SALUBULO;1;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;BAMBANG;2005;SALUKADI;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;BAMBANG;2006;SALUKEPOPOK;1;1;100.00;1;0;1;30;1;JANUARI
SULAWESI BARAT;MAMASA;BAMBANG;2007;ULUMAMBI BARAT;1;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;BAMBANG;2008;LIMBADEBATA;1;1;100.00;1;0;1;25;1;JANUARI
