;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH PASCASALIN;BERISIKO;TIDAK BERISIKO;MELAHIRKAN NORMAL;MELAHIRKAN CAESAR;KOMPLIKASI SAAT NIFAS;TIDAK KOMPLIKASI SAAT NIFAS;PENDARAHAN;HIPERTENSI;INFEKSI;KOMPLIKASI LAINNYA;MINIMAL 1 HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;TIDAK ADA YANG HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;LAHIR HIDUP SAAT DILAHIRKAN;LAHIR MENINGGAL SAAT DILAHIRKAN;KEADAAN BAYI HIDUP;KEADAAN BAYI MENINGGAL;MENDAPATKAN HIDUP;MENDAPATKAN MENINGGAL;MENGKOMSUMSI YA;TMENGKOMSUMSI TIDAK;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK KIE;MENDAPATKAN FASILITAS RUJUKAN;TIDAK MENDAPAT FASILITAS RUJUKAN;MENDAPATKAN FASILITAS BANSOS;TIDAK MENDAPAT FASILITAS BANSOS
82;SULAWESI BARAT;MAMUJU;KALUKKU;BEBANGA;19;0;0;6;13;1;18;0;1;0;0;0;0;18;1;18;1;19;0;19;0;19;0;0;0;12;7;1;18
83;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU;7;0;0;4;3;0;7;0;0;0;0;0;0;7;0;7;0;7;0;7;0;7;0;0;0;1;6;0;7
84;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI SELATAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;SULAWESI BARAT;MAMUJU;KALUKKU;SONDOANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;SULAWESI BARAT;MAMUJU;KALUKKU;BERU-BERU;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1
87;SULAWESI BARAT;MAMUJU;KALUKKU;BELANG BELANG;3;0;0;3;0;0;3;0;0;0;0;0;0;3;0;3;0;3;0;3;0;3;0;0;0;0;3;3;0
88;SULAWESI BARAT;MAMUJU;KALUKKU;KABULOANG;4;0;0;3;1;0;4;0;0;0;0;0;0;4;0;4;0;4;0;4;0;4;0;0;0;1;3;2;2
89;SULAWESI BARAT;MAMUJU;KALUKKU;KEANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;SULAWESI BARAT;MAMUJU;KALUKKU;POKKANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;SULAWESI BARAT;MAMUJU;KALUKKU;GULILING;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;SULAWESI BARAT;MAMUJU;KALUKKU;UHAIMATE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU BARAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;SULAWESI BARAT;MAMUJU;KALUKKU;PAMMULUKANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;SULAWESI BARAT;MAMUJU;BONEHAU;BONEHAU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;SULAWESI BARAT;MAMUJU;BONEHAU;SALUTIWO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;SULAWESI BARAT;MAMUJU;BONEHAU;BUTTUADA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;SULAWESI BARAT;MAMUJU;BONEHAU;TAMALEA;2;0;0;2;0;0;2;0;0;0;0;1;0;1;0;1;0;2;0;2;0;2;0;0;0;2;0;2;0
99;SULAWESI BARAT;MAMUJU;BONEHAU;LUMIKA;3;0;0;2;1;0;3;0;0;0;0;0;0;3;0;3;0;3;0;3;0;3;0;0;0;0;3;0;3
100;SULAWESI BARAT;MAMUJU;BONEHAU;MAPPU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;SULAWESI BARAT;MAMUJU;BONEHAU;BANUADA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;SULAWESI BARAT;MAMUJU;BONEHAU;HINUA;3;0;0;2;1;0;3;0;0;0;0;0;0;3;0;3;0;3;0;3;0;0;0;3;0;3;0;3;0
103;SULAWESI BARAT;MAMUJU;BONEHAU;KINATANG;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1
104;SULAWESI BARAT;MAMUJU;KALUMPANG;KALUMPANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;SULAWESI BARAT;MAMUJU;KALUMPANG;KARATAUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
