PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI DIMENSI LANSIA TANGGUH;MATERI PEDOMAN PJP;MATERI PRA LANSIA;MATERI KELANJUT-USIAAN LAINNYA;MATERI KB DAN KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH ANGGOTA BKL;JUMLAH ANGGOTA KELUARGA HADIR;JUMLAH ANGGOTA LANSIA HADIR;STATUS PUS;STATUS BER-KB;BULAN
SULAWESI BARAT;MAJENE;SENDANA;2026;BUKIT SAMANG;1;1;100.00;1;1;0;0;1;0;1;1;0;69;43;38;1;1;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;1001;LALAMPANUA;1;1;100.00;1;0;0;0;0;0;1;1;0;103;44;38;6;1;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;1002;SIRINDU;1;1;100.00;1;0;0;1;0;1;1;1;0;81;48;48;2;1;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2003;ADOLANG;1;1;100.00;1;0;0;0;1;0;1;1;0;71;24;31;3;3;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2004;BABABULO;1;1;100.00;1;0;0;0;0;0;1;1;0;86;39;10;10;4;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2005;BONDE;1;1;100.00;1;0;0;0;1;0;1;1;0;130;25;25;2;1;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2006;BETTENG;1;1;100.00;1;0;0;0;1;0;1;1;0;39;18;22;1;0;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2007;SIMBANG;1;1;100.00;1;0;0;0;1;0;1;1;0;48;39;39;1;1;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2008;BONDE UTARA;1;1;100.00;1;0;0;0;1;0;1;1;0;98;25;18;1;1;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2009;BABABULO UTARA;1;1;100.00;1;0;1;0;0;0;1;1;0;80;52;16;4;3;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2010;BUTTU PAMBOANG;1;1;100.00;1;0;0;0;0;0;1;1;0;51;47;23;8;6;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2011;BANUA ADOLANG;1;1;100.00;1;0;1;0;0;0;1;1;0;60;31;22;2;1;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2012;ADOLANG DHUA;1;1;100.00;1;0;0;0;1;0;1;1;0;51;41;42;11;4;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2013;TINAMBUNG;1;1;100.00;1;0;0;0;1;0;1;1;0;161;112;82;7;5;JANUARI
SULAWESI BARAT;MAJENE;PAMBOANG;2014;PESULOANG;1;1;100.00;1;0;1;0;1;0;1;1;0;51;35;32;6;4;JANUARI
