PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELURAHAN/DESA;JUMLAH KAMPUNG KB;2016;2017;2018;2019;> 2019;KAMPUNG KB MANDIRI;KAMPUNG KB PERCONTOHAN
SULAWESI BARAT;MAJENE;SENDANA;2004;TOTOLISI SENDANA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2007;TALLUBANUA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2015;LALATEDZONG;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;MAJENE;SENDANA;2016;BINANGA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2017;PUTTADA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2018;PAMINGGALAN;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2019;LEPPANGANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2020;PUNDAU;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;MAJENE;SENDANA;2021;SENDANA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2022;BANUA SENDANA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2023;TALLUBANUA UTARA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2024;LIMBORO RAMBU-RAMBU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;SENDANA;2025;LIMBUA;1;1;0;1;0;0;0;0;1
SULAWESI BARAT;MAJENE;SENDANA;2026;BUKIT SAMANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2001;SEPPONG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2002;TAMMERODO;1;1;0;1;0;0;0;0;1
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2003;ULIDANG;1;1;0;0;0;0;1;0;1
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2004;TALLAMBALAO;1;1;0;0;0;0;1;0;1
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2005;TAMMERODO UTARA;1;1;0;0;0;0;1;0;1
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2006;MANYAMBA;1;1;0;0;0;0;1;0;1
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;2007;AWO;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;TUBO SENDANA;2001;ONANG;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAJENE;TUBO SENDANA;2002;TUBO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;TUBO SENDANA;2003;ONANG UTARA;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;MAJENE;TUBO SENDANA;2004;TUBO SELATAN;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;TUBO SENDANA;2005;BONDE BONDE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAJENE;TUBO SENDANA;2006;TUBO TENGAH;1;1;0;0;0;1;0;0;0
